term,meaning,type,latin,native,language
madjnon,mad,m,majnūn,مَجْنُون,arabic
madyam,intoxicate,a,mádya,मद्य,sanskrit
madyat,revel,o,,माद्यति,sanskrit
maf,male,m,,,
mafan,trouble,a,mafan,麻烦,chinese
mafsik,switch,o,mafsek,מַפְסֵק,hebrew
magaf,boot (shoe),o,magaf,מַגָּף,hebrew
magal,circle,o,ma'agal,מַעְגָּל,hebrew
magan,dock,o,ma'agán,מַעֲגָן,hebrew
magap,contact,o,maga,מַגָּע,hebrew
magax,tray,o,magash,מַגָּשׁ,hebrew
magef,epidemic,o,magefa,מַגֵּיפָה,hebrew
magen,shield,o,magen,מָגֵן,hebrew
mager,overthrow,a,lemag(e)R,לְמַגֵּר,hebrew
magets,iron,a,maghetz,מַגְהֵץ,hebrew
magref,rake,o,magrefa,מַגְרֵפָה,hebrew
magur,tuna,o,maguro,鮪,japanese
mahal,virtue,o,ma'alah,מַעֲלָה,hebrew
maharg,expensive,m,,महार्घ,sanskrit
mahat,great,m,mahat,महत्,sanskrit
mahid,stumble,o,me'ida,מְעִידָה,hebrew
mahoz,territory,o,machoz,מָחוֹז,hebrew
mahuk,slop,o,mahu,马虎,chinese
mahut,character (nature),o,mahut,מַהוּת,hebrew
mak,forward,m,,,
makab,cube,o,makeab,مكعب,arabic
makaf,hyphen,o,maqaf,מַקָּף,hebrew
makal,disease,o,machala,מַחֲלָה,hebrew
makar,sale,o,makhár,מָכַר,hebrew
makat,needle,o,machat,מַחַט,hebrew
makel,stick (plant),o,makel,מַקֵּל,hebrew
maklak,department,o,machlaka,מַחְלָקָה,hebrew
maklas,refugee,o,maḵlaṣ,مَخْلَص ,arabic
makmad,precious,m,machmad,מַחְמָד,hebrew
makov,grief,o,makh'óv,מַכְאוֹב,hebrew
makxam,fly (bug),o,mákṣā,मक्षा,sanskrit
mal,molecule,o,,,english
malak,king,o,melech,מֶלֶךְ,hebrew
malal,colon (mark),o,màohào,冒号,chinese
maldjin,towel,o,máo jīn,毛巾,chinese
malin,filth,a,malina,मलिन,sanskrit
malosk,mollusk,o,,,english
malum,special,m,maalum,,swahili
malyip,trade,o,mào yì,贸易,chinese
malzal,frizz,a,máo zào,毛躁,chinese
malzip,hat,o,mào zi,帽子,chinese
mam,source,o,,,
mamar,sorrow,o,memer,מֶמֶר,hebrew
mamat,debate,o,ma'amat,מַעֲמָת,hebrew
mamex,implement,a,lemam(e)x,לְמַמֵּשׁ,hebrew
mamol,mammal,o,,,english
mamun,numb,m,má mù,麻木,chinese
manan,dose,o,leman(e)n,לְמַנֵּן,hebrew
manas,mind,o,mánas,मनस्,sanskrit
manat,share,o,mana,מָנָה,hebrew
manban,panel,o,mianban,面板,chinese
mandal,round,m,maṇḍala,मण्डल,sanskrit
mandar,slow,m,mandara,मन्दर,sanskrit
mandwin,confront,a,miànduì,面对,chinese
manik,guide,o,maneHeh,מַנְחֶה,hebrew
manok,motor,o,mano'a,מָנוֹעַ,hebrew
manstor,monster,o,,,english
mantan,shy,m,miantian,腼腆,chinese
mantram,utter,m,mantra,मन्त्र,sanskrit
manuC,humanity,o,,mannúð,icelandic
manut,occuptation,o,umanut,אוּמָּנוּת,hebrew
manyat,ponder,a,,मन्यते,sanskrit
manyol,roam,a,manyou,漫游,chinese
manyun,passion,o,,मन्यु,sanskrit
map,map (map/reduce),o,,,
mapon,habitat,o,ma'on,מָעוֹן,hebrew
maq,mix,o,,,
mar,light,o,lama,a,arabic
marad,nurse,o,maraḍ,مَرَّضَ,arabic
marak,soup,o,marak,מָרָק,hebrew
mardan,rebel,o,mardan,מַרְדָן,hebrew
maredj,marry (wed),o,,,english
margax,health,o,margash,מַרְגָּשׁ,hebrew
marid,sick,m,marīḍ,مَرِيض,arabic
markat,monkey,o,markata,मर्कट,sanskrit
maror,thistle,o,maror,מָרוֹר,hebrew
martan,mortal,o,márta,मर्त,sanskrit
maruf,decend,a,maʿrūf,مَعْرُوف,arabic
maruk,wolf,o,,ᐊᒪᕈᖅ,inuktitut
marun,maroon,o,,,english
marutz,race (event),o,merutza,מְרוּצָה,hebrew
marvad,carpet,o,marvad,מַרְבָד,hebrew
maryad,shore,o,,मर्यादा,sanskrit
mas,month,o,masa,मास,sanskrit
masad,base,o,masad,מַסָּד,hebrew
masak,screen (display),o,masach,מָסַךְ,hebrew
masib,party,o,mesibah,מְסִבָּה,hebrew
masik,mask,o,masecha,מַסֵּיכָה,hebrew
maslul,track (path),o,maslul,מַסְלוּל,hebrew
masmir,nail (carpentry),o,masmer,מַסְמֵר,hebrew
masnan,filter,o,masnen,מַסְנֵן,hebrew
masor,saw (tool),o,masor,מַסּוֹר,hebrew
masrit,camera,o,masreta,מַסְרֵטָה,hebrew
mastik,gum,o,mastik,מַסְטִיק,hebrew
mat,about,m,,,english
matag,brand (business),o,lemat(e)g,לְמַתֵּג,hebrew
matak,goal,o,mataQah,מַטָּרָה,hebrew
matal,advantage,o,ma'alá,מַעֲלָה,hebrew
matar,shower (water),o,matar,מָטָר,hebrew
matben,coin,o,matbea,מַטְבֵּעַ,hebrew
maten,moderate,m,lemat(e)n,לְמַתֵּן,hebrew
matkak,paddle,o,matka,מַטְקָה,hebrew
matos,plane,m,matos,מָטוֹס,hebrew
matsar,envy,o,matsara,मत्सर,sanskrit
matsav,situation,o,matsáv,מַצָּב,hebrew
matun,union,o,maithuna,मैथुन,sanskrit
matzat,cracker,o,matzah,מַצָּה,
matzod,hunt,a,matzod,מָצוֹד,hebrew
matzuk,distress,o,metzuka,מְצוּקָה,hebrew
mavat,die,o,mávet,מָוֶת,hebrew
mavok,maze/labyrinth,o,mavókh,מָבוֹךְ,hebrew
mavon,introduction,o,mavo,מָבוֹא,hebrew
mawiz,sermon,o,mawʿiẓa,مَوْعِظَة,arabic
max,earth,o,,,
maxal,example,o,mashal,מָשָׁל,hebrew
maxav,resource,o,mash'av,מַשְׁאָב,hebrew
maxkin,pledge,a,lemaxk(e)n,לְמַשְׁכֵּן,hebrew
maxot,oar (boat),a,jìxù,מְשׁוֹט,mashowt
maxov,feedback,o,mashov,מָשׁוֹב,hebrew
maxtan,diuretic,m,mashten,מַשְׁתֵּן,hebrew
mayik,cunning,m,māyika,मायिक,sanskrit
mayim,water,o,mayim,מַיִם,hebrew
maz,as,m,,,english
mazal,luck,o,mazal,מַזָּל,hebrew
mazlig,fork (utensil),o,mazleg,מַזְלֵג,hebrew
meb,maybe,m,,,english
meduz,jellyfish,o,meduza,מֶדוּזָה,hebrew
mehur,hole,o,me'ura,מְאוּרָה,hebrew
mek,make,a,,,english
mem,memory,o,,,english
memac,mammoth,o,,,english
men,money,o,,,english
menat,mane,o,,,english
mepal,maple,o,,,english
mes,message,o,,,english
mesir,theme,o,meser,מֶסֶר,hebrew
met,thing about the thing (meta-),m,,,
metak,tension,o,metach,מֶתַח,hebrew
metar,chord (math),o,metar,מיתר,hebrew
metik,media,o,méitǐ,媒体,chinese
mev,many,m,many,,english
mewek,delectable,m,měi wèi,美味,chinese
mex,mesh (inter-),o,,,
mexik,gravity,o,meshicha,מְשִׁיכָה,hebrew
mib,size,o,,,
miCgild,median (math),o,,miðgildi,icelandic
miCim,ticket,o,,miði,icelandic
miClar,mediate,a,,miðlari,icelandic
mid,middle,o,,,
midrax,interpret,a,midrash,מִדְרָשׁ,hebrew
midron,slope,o,midron,מִדְרוֹן,hebrew
midur,compartmentalization,o,midur,מִידּוּר,hebrew
midvas,bountiful,m,mīḍhvás,मीढ्वस्,sanskrit
mifal,factory,o,mif'al,מִפְעָל,hebrew
mifkad,census,o,mifkad,מִפְקָד,hebrew
mifrak,joint (biology),o,mifrak,מִפְרָק,hebrew
mifras,sail,o,mifras,מִפְרָשׂ,hebrew
mifratz,bay,o,mifratz,מִפְרָץ,hebrew
migdal,tower,o,migdal,מִגְדָּל,hebrew
migdar,gender,o,migdar,מִגְדָּר,hebrew
migrax,field,o,migrash,מִגְרָשׁ,hebrew
mihad,pave,a,mihād,مَهَّدَ,arabic
mihal,fine,m,meihao,美好,chinese
mihar,excavate,a,michre,מִכְרֶה,hebrew
mihat,protest,a,mecha'a,מְחָאָה,hebrew
mihok,erase,a,limH(o)k,לִמְחוֹק,hebrew
mikar,survey,o,mechkar,מֶחְקָר,hebrew
mikdax,temple,o,mikdásh,מִקְדָּשׁ,hebrew
mikil,burrow,o,mechila,מְחִילָּה,hebrew
miklat,shelter,o,miklat,מִקְלָט,hebrew
miktuk,drink,o,,imiqtuq,inuktitut
mikvaq,gesture,o,mechva,מֶחְווָה,hebrew
mikyas,metric,o,miqyās,مِقْياس,arabic
mikzur,recycle,a,michzur,מִיחְזוּר,hebrew
mil,smell,o,,,english
milan,mile,o,,,english
milat,cement,o,melet,מֶלֶט,hebrew
milit,filling,o,m'lít,מְלִית,hebrew
milvin,kite,o,,,latin
mim,me,a,mimi,,swahili
mimad,dimension,a,memad,מֵימַד,hebrew
mimik,secret,o,mimi,秘密,chinese
min,mean (verb),a,,,english
minad,spectrum,o,min'ad,מִנְעָד,hebrew
minag,custom/traditional practice,o,minhág,מִנְהָג,hebrew
minan,offering,o,mincha,מִנְחָה,hebrew
mindjan,grass roots,o,mínjiān,民间,chinese
mindjek,agile,m,mǐn jié,敏捷,chinese
minhal,management,o,minhal,מִנְהָל,hebrew
minliq,yum,m,mìng lìng,命令,chinese
minor,lamp,o,menora,מְנוֹרָה,hebrew
minsar,prism,o,minsara,מִנְסָרָה,hebrew
mintok,brow,o,meitou,眉头,chinese
minuk,serenity,o,menucha,מְנוּחָה,hebrew
minxan,obvious,m,míngxiǎn,明显,chinese
minxar,manifest,m,minshar,מִנְשָׁר,hebrew
minzuq,tribe,o,mínzú,民族,chinese
miput,minority,o,mi'ut,מִעוּט,hebrew
miq,who,m,mi,מִי,hebrew
miqan,sensitive,m,mǐngǎn,敏感,chinese
miqmak,muskox,o,umingmak,ᐅᒥᖕᒪᒃ,inuktitut
miqtxek,definitive,m,míng què,明确,chinese
miqzip,judicious,m,míng zhì,明智,chinese
mir,sir,o,,,
mirad,revolt,a,mered,מֶרֶד,hebrew
miraj,mirage,o,,,english
mirdat,spare,m,,मृडति,sanskrit
miren,glamorous,m,mí rén,迷人,chinese
mirkam,texture,o,mirkam,מִרְקָם,hebrew
mirman,fraud,o,mirma,מִרְמָה,hebrew
mirt,meter,o,,,english
mirxam,recipe,o,mirsham,מִרְשָׁם,hebrew
mis,most (-est) (large-collection-partition-focus),m,,,
miskyuz,promiscuous,m,,,english
mismak,certificate,o,mismach,מִסְמָךְ,hebrew
mismis,apricot,o,mišmiš,مِشْمِش,arabic
misrut,loyalty,o,mesirut,מְסִירוּת,hebrew
mit,meet,a,,,english
mitan,charge (electricity),o,mit'an,מִטְעָן,hebrew
mitar,string,o,metar,מֵיתָר,hebrew
mitzud,fortress,o,metzuda,מְצוּדָה,hebrew
mitzul,depth,o,metzula,מְצוּלָה,hebrew
mivrak,telegram,o,mivrak,מִבְרָק,hebrew
mix,immutable,m,,,
mixdar,transmission,o,mishdar,מִשְׁדָּר,hebrew
mixkan,ointment,o,mishcha,מִשְׁחָה,hebrew
mixor,plane (geometry),o,mishor,מִישׁוֹר,hebrew
mixpak,family,o,mishpakhá,מִשְׁפָּחָה,hebrew
mixtar,regulate,a,mishtara,מִשְׁטָרָה,hebrew
mixuk,secretary,o,mì shū,秘书,chinese
miyun,sorting,o,miyun,מִיּוּן,hebrew
mizam,initiative,m,mezam,מֵיזָם,hebrew
mizan,balance,o,mīzān,مِيزَان,arabic
miziz,root,o,mizizi,,swahili
mizvad,luggage,o,mizvad,מִזְווָד,hebrew
mod,twelve,o,,,
modarn,modern,o,,,english
mofan,exemplary,m,mó fàn,模范,chinese
mofet,good example,m,mofet,מוֹפֵת,hebrew
mofik,purple,a,mofi,موفي,arabic
mohuk,fuzzy,m,mohu,模糊,chinese
mohul,misty,m,mó hu,模糊,chinese
mohun,blur,o,móhú,模糊,chinese
mohut,vague,o,mó hu,模糊,chinese
moj,museum object,o,,,
mokxan,release,a,moksha,मोक्ष,sanskrit
mokxap,liberation,o,mokṣa,मोक्ष,sanskrit
mol,high,m,,,
molet,mole,o,,,english
molik,conduct (electricity),o,molich,מוֹלִיךְ,hebrew
molt,vowel large O sound,o,,,
mon,featuring x,o,,,
monim,impersonate,a,moni,模拟,chinese
monin,gauge,o,mone,מוֹנֶה,hebrew
morfaq,parody,o,mofang,模仿,chinese
morn,m sound,o,,,
morp,10^33,o,,,
mosad,institution,o,mosad,מוֹסָד,hebrew
moskit,mosquito,o,,,english
moswok,fumble,a,mō suǒ,摸索,chinese
motiv,motivate,a,,,english
mox,the model of the action (e.g. the transform),a,,,
moxiq,matrix (math),o,móxíng,模型,chinese
mubam,transcend,a,mubham,مُبْهَم,arabic
mug,different,m,,,
muhaq,aardvark,o,muhanga,,swahili
muhim,necessary,m,muhimu,,swahili
muhit,overall,m,muḥīṭ,مُحِيط,arabic
mukan,dumb,m,,मूक,sanskrit
mukim,reside,a,muqīm,مقيم,arabic
mun,conscious,a,,,
munak,term,o,munach,מוּנָּח,hebrew
mundam,bald,m,,मुण्ड,sanskrit
mundiq,rivet,o,muding,铆钉,chinese
mural,pipe,o,,मुरली,sanskrit
murib,suspicious,m,murīb,مريب,arabic
murkam,stupid,m,,मूर्ख,sanskrit
muron,muon,m,muon,,english
murtak,loose,a,murtakhi,مرتخي,arabic
mus,must,m,,,english
musag,concept,a,musag,מוּשָּׂג,hebrew
musar,ethic,a,musar,מוּסָר,hebrew
muskam,convention,o,muskama,מוּסְקָמָה,hebrew
muslam,submit,a,muslim,مُسْلِم,arabic
mustaqk,swamp,o,mustanqa,مُسْتَنْقَع,arabic
mustax,mustache,o,,,english
mustel,mustelidae,o,,,
mutag,brand (name),o,mutag,מוּתָג,hebrew
mutxan,present,m,mù qián,目前,chinese
muv,move,a,,,
muvan,meaning,o,muvan,מוּבָן,hebrew
muxak,prolonged,m,m'mushákh,מְמֻשָּׁךְ,hebrew
muz,role,a,,,
myuCam,hip,o,,mjöðm,icelandic
myutet,mutate,a,,,english
myuzik,music,o,,,english
nabog,genius,o,nabogh,نَبُوْغ,arabic
nacos,jaw,o,gnathos,γνάθος,greek
nad,nand,o,,,
nadad,wander,a,nadád,נָדַד,hebrew
nadiv,generous,m,nadív,נָדִיב,hebrew
nadjam,appear,a,najam,نَجَمَ,arabic
nadot,banish,a,lenad(o)t,לְנַדּוֹת,hebrew
nafak,capacity,o,nefach,נֶפַח,hebrew
nafots,widespread,m,nafóts,נָפוֹץ,hebrew
nagad,resist,a,nagád,נַגָּד,hebrew
nagif,virus,o,negif,נְגִיף,hebrew
nagin,eel,o,unagi,うなぎ,japanese
nagnat,naked,m,nagna,नग्न,sanskrit
naham,please,a,na'ám,נָעַם,hebrew
nahar,river,a,nahar,נָהָר,hebrew
nahex,guess,a,lenaH(e)x,לְנַחֵשׁ,hebrew
nahig,drive,o,nehiygah,נְהִיגָה,hebrew
nahil,swarm,o,nechil,נְחִיל,hebrew
nahir,exhaust,a,nechir,נְחִיר,hebrew
nahod,captain,o,nahodha,,swahili
nahut,disability,o,naHut,נָכוּת,hebrew
nak,orient,o,,,
nakal,palm tree,o,naḵal,نَخْل,arabic
naker,peck,o,lenak(e)R,לְנַקֵּר,hebrew
nakik,crevice,o,nakik,נָקִיק,hebrew
naklak,disagree,o,nekhlák,נֶחְלַק,hebrew
nakyul,cervidae,o,nakjuliit,ᓇᒃᔪᓖᑦ,inuktitut
nal,period of x (-hood),o,,,
namat,bend,a,,नमति,sanskrit
namel,port,o,namel,נָמֵל,hebrew
namraq,humble,m,namrá,नम्र,sanskrit
nan,negate,o,,,
nandek,seldom,m,nándé,难得,chinese
nantxiq,junior,o,niánqīng,年轻,chinese
nanuk,bear (animal),o,,ᓇᓄᖅ,inuktitut
nap,end foreign word,o,,,
napal,shoe,o,na'al,נַעַל,hebrew
napek,inflate,a,lenap(e)aH,לְנַפֵּחַ,hebrew
napetz,smash,o,lenap(e)tz,לְנַפֵּץ,hebrew
napot,sift,a,lenap(o)t,לְנַפּוֹת,hebrew
nar,person,o,nára,नर,sanskrit
nartik,vagina,o,nartik,נַרְתִּיק,hebrew
naryol,cream,o,nǎi yóu,奶油,chinese
nas,nice,m,,,english
nasak,formulate,a,lenas(e)aH,לְנַסֵּחַ,hebrew
nasig,retreat,a,nesiga,נְסִיגָה,hebrew
nasir,ally,o,naṣīr,نَصِير,arabic
nasot,attempt,a,lenas(o)t,לְנַסּוֹת,hebrew
nastik,skeptic,a,nāstika,नास्तिक,sanskrit
natak,operate,a,lenat(e)aH,לְנַתֵּחַ,hebrew
natar,jump,a,lenat(e)R,לְנַתֵּר,hebrew
natim,parallax,a,,नति,sanskrit
natir,monitor,o,lenat(e)R,לְנַטֵּר,hebrew
natran,sodium,a,natran,נַתְרָן,hebrew
natsig,representative,m,natsiyg,נָצִיג,hebrew
natsik,phocidae (seal animal),o,natsiq,ᓇᑦᓯᖅ,inuktitut
natx,n sound,o,,,
natzak,glory,o,nétzakh,נֶצַח,hebrew
natzal,exploit,o,lenatz(e)l,לְנַצֵּל,hebrew
navan,boat,a,nāvā,नावा,sanskrit
navat,navigate,o,lenav(e)t,לְנַווֵּט,hebrew
navuk,prophesy,a,nevu'a,נְבוּאָה,hebrew
nawik,console,a,anwei,安慰,chinese
naxaf,breeze,o,nâshaph,נָשַׁף,hebrew
naxak,kiss,a,nasháq,נָשַׁק,hebrew
naxat,momentum,a,nashat,نَشَاطٌ,arabic
nayan,eye,o,,नयन,sanskrit
nazir,hermit,o,nazir,נָזִיר,hebrew
nebal,implode,a,nèi bào,内爆,chinese
nedir,vow,o,neder,נֶדֶר,hebrew
nefil,tumble,o,nefila,נְפִילָה,hebrew
nefros,kidney,o,nephros,νεφρός,greek
negek,cabinet,o,nèi gé,内阁,chinese
nehag,steer,a,nehag,נֶהָג,hebrew
nehan,connotation,o,neihan,内涵,chinese
neks,10^24,o,,,
nekud,dot,o,nekuda,נְקוּדָּה,hebrew
nem,name,o,,,
nep,instead,a,,,
neroq,content,a,nèiróng,内容,chinese
nesal,nestle,o,,,english
net,emanate,a,,,
nev,off,a,,,
nexim,breath,a,neshima,נְשִׁימָה,hebrew
neyar,document,a,neyar,נְייָר,hebrew
nidjwan,torsion,o,niuzhuan,扭转,chinese
nif,a (isolated-element-focus),a,,,
nigud,contrast,o,nigud,נִגּוּד,hebrew
nigun,melody,o,nigún,נִגּוּן,hebrew
nigwak,goad,o,niguach,נִיגּוּחַ,hebrew
nihal,hello,a,nǐ hǎo,你好,chinese
nik,any,m,,,english
nikam,revenge,o,nekama,נְקָמָה,hebrew
niknas,enter a state,o,nikhnás,נִכְנַס,hebrew
nilaks,lux (measurement),o,,,english
nilan,sapphire,o,nīla,नील,sanskrit
nilkam,wage war,a,nilkhám,נִלְחַם,hebrew
nimlak,consult,a,nimlakh,נִמְלַךְ,hebrew
nimnan,depression,o,,निम्न,sanskrit
nimtul,clay,o,niantu,黏土,chinese
nimuk,justification,o,nimuk,נִימּוּק,hebrew
nin,neutral,o,,,
ninant,excess,o,nitAnta,नितान्त,sanskrit
nip,start foreign word,o,,,
nipnap,start end foreign word,o,,,
niputz,smashing,m,niputz,נִיפּוּץ,hebrew
nirvan,extinguish,a,nirvana,निर्वाण,sanskrit
nisbet,proportion,m,nisbe,نسبة,arabic
nisig,recession,o,nesiygah,נְסִיגָה,hebrew
nit,night,o,,,
nitak,chunk,o,netach,נֶתַח,hebrew
nituk,severing,o,nituk,נִיתּוּק,hebrew
nitzul,usage,o,nitzul,נִיצּוּל,hebrew
nival,harp,o,nevel,נֶבֶל,hebrew
nivim,prophecy,a,n'vi'ím,נְבִיאִים,hebrew
nix,having some aspects of (-ish),a,,,
nixin,herring (fish),o,nishin,ニシン,japanese
nixsrik,ugly,a,niḥśrīka,निःश्रीक,sanskrit
niyam,restraint,a,niyamá,नियम,sanskrit
nizak,damage,a,nezek,נֶזֶק,hebrew
nizkar,remember suddenly after having forgotten,a,nizkár,נִזְכַּר,hebrew
nod,center,a,,,
nohal,proceed,o,nohal,נוֹהַל,hebrew
nohut,comfort,a,nochut,נוֹחוּת,hebrew
nokak,realize,a,nókhakh,נוׄכַח,hebrew
nol,area,o,,,
nop,no,o,,,english
noqtxun,rural,a,nóngcūn,农村,chinese
nor,network,a,,,
norc,north,o,,,english
nord,order,o,,,english
nos,almost,m,,,
nosep,passenger,o,nose'a,נוֹסֵעַ,hebrew
not,note,o,,,
notet,annotate,a,,,english
notzaq,feather,o,notza,נוֹצָה,hebrew
noz,z-axis,o,,,
nuc,long,m,,,
nudnik,nuisance,o,nudnik,נוּדְנִיק,hebrew
nuf,enough/require,m,,,english
nug,representation,o,,,
nukis,nut,o,,,latin
nuklit,ursidae,o,nukiliit,ᓄᑭᓖᑦ,inuktitut
nul,toward,m,,,
nulik,torque,o,niuli,扭力,chinese
nulip,effort,o,nuli,努力,chinese
nulun,fallacy,o,niulun,谬论,chinese
num,new,m,,,english
nun,not (un- or -im),m,,,
nup,unique,m,,,
nupox,relax,a,linp(o)x,לִנְפּוֹשׁ,hebrew
nurf,vowel large U sound,o,,,
nutan,newton (force),o,,,english
nuzol,drip,a,linz(o)l,לִנְזוֹל,hebrew
nuzul,lodge,o,nuzul,نُزُل ,arabic
pac,path,o,,,
paCal,disposition,o,,aðal,icelandic
pacar,prefer,a,ʾāṯara,آثَرَ,arabic
padar,bring,a,adhara,أَحْضَرَ,arabic
padax,pretense,o,,अपदेश,sanskrit
padhat,sign,o,paddhati,पद्धति,sanskrit
padman,lotus,o,padma,पद्म,sanskrit
padol,puddle,o,,,english
padot,simmer,o,le'ad(o)t,לְאַדּוֹת,hebrew
padyat,topple,o,,पद्यते,sanskrit
pafnin,modulate,a,le'afn(e)n,לְאַפְנֵן,hebrew
pagov,seduce,a,la'ag(o)v,לַעֲגוֹב,hebrew
pahar,disparity,o,pa'ar,פַּעַר,hebrew
pahur,prowl,a,paihuai,徘徊,chinese
pajot,pit,o,pajot,,french
pak,undo,a,,,
pakal,digest,a,le'ak(e)l,לְעַכֵּל,hebrew
pakav,prevent,a,le'ak(e)v,לְעַכֵּב,hebrew
paket,packet,o,,,english
pakid,official,o,pakiyd,פָּקִיד,hebrew
pakil,confiscate,a,le'ak(e)l,לְעַקֵּל,hebrew
paklis,populate,a,le'aHl(e)s,לְאַכְלֵס,hebrew
pakof,overtake,a,la'ak(o)f,לַעֲקוֹף,hebrew
pakor,displace,o,la'ak(o)R,לַעֲקוֹר,hebrew
pakxek,shot,a,paishe,拍摄,chinese
pakyim,drift,o,piaoyi,漂移,chinese
pakziv,disappoint,a,le'aHz(e)v,לְאַכְזֵב,hebrew
pal,to/arrive,a,,,
palaf,tame,m,le'al(e)f,לְאַלֵּף,hebrew
palan,pollen,m,pollen,,english
palat,slip out,a,pâlaṭ,פָּלַט,hebrew
palix,invasion,o,plisha,פְּלִישָׁה,hebrew
palmor,froth,o,paomo,泡沫,chinese
palset,pulsate,a,,,english
paltir,improvise,a,le'alt(e)R,לְאַלְתֵּר,hebrew
paltxim,forsake,a,paoqi,抛弃,chinese
pamen,coach,o,le'am(e)n,לְאַמֵּן,hebrew
pamet,verify,a,le'am(e)t,לְאַמֵּת,hebrew
pamon,bell,o,pa'amon,פַּעֲמוֹן,hebrew
pampem,dim,a,le'am'(e)m,לְעַמְעֵם,hebrew
pan,yes,a,,,
panas,torch,o,panas,פָּנָס,hebrew
pancir,panther,o,,,english
panig,delight,o,le'an(e)g,לְעַנֵּג,hebrew
panim,face (surface),o,panim,פָּנִים,hebrew
panin,pearl,o,pnina,פְּנִינָה,hebrew
panix,punish,a,,,english
panot,torment,a,le'an(o)t,לְעַנּוֹת,hebrew
panyim,cheap,o,pianyi,便宜,chinese
panzit,plate,o,pán zi,盘子,chinese
papan,vicious,m,,पाप,sanskrit
paplar,poplar,o,,,english
paq,response,o,,,
paqbal,aside,a,páng bái,旁白,chinese
paqdak,huge,m,pángdà,庞大,chinese
par,power,o,,,english
parab,parable,o,,,english
parag,poppy,o,parag,פָּרָג,hebrew
paraq,alien,o,para,पर,sanskrit
parav,involve,a,le'aR(e)v,לְעָרֵב,hebrew
parax,retire,o,parásh,פָּרַשׁ,hebrew
parom,pile,o,la'aR(o)m,לַעֲרוֹם,hebrew
paron,pencil,o,iparon,עִיפָּרוֹן,hebrew
parov,ambush,o,le'eR(o)v,לֶאֱרוֹב,hebrew
parpil,obscure,a,le'aRp(e)l,לְעַרְפֵּל,hebrew
pars,p sound,o,,,
part,part,m,part,,english
parvan,fur,o,parva,פַּרְווָה,hebrew
parvat,rugged,m,,पर्वत,sanskrit
pas,under orientation,a,,,
pasal,idol,o,pesel,פֶּסֶל,hebrew
paser,sparrow,o,passer,,latin
paskal,pascal (measurement),o,,,english
pasor,ban,o,le'es(o)R,לֶאֱסוֹר,hebrew
pasuk,period (mark),a,pasuq,פָּסוּק,hebrew
pat,act of,a,,,
patal,roof,o,paṭala,पटल,sanskrit
patant,patent,o,,,english
patar,award,o,le'at(e)R,לְעַטֵּר,hebrew
patat,soar,a,,पतति,sanskrit
patir,local,o,le'at(e)R,לְאַתֵּר,hebrew
patix,hammer,o,patish,פַּטִּישׁ,hebrew
patof,envelop,o,la'at(o)f,לַעֲטוֹף,hebrew
pator,encircle,o,la'at(o)R,לַעֲטוֹר,hebrew
patram,leaf,o,patra,पत्र,sanskrit
patridj,partridge,o,,,english
patxip,repulsive,a,pái chì,排斥,chinese
pavak,fire,o,pāvaká,पावक,sanskrit
pavan,pure,o,,पावनी,sanskrit
pavit,distort,o,le'av(e)t,לְעַווֵּת,hebrew
pavrir,ventilate,o,le'avR(e)R,לְאַווְרֵר,hebrew
pavtak,secure,o,le'avt(e)aH,לְאַבְטֵחַ,hebrew
paxar,confirm,a,le'ax(e)R,לְאַשֵּׁר,hebrew
paxit,invade,o,pshita,פְּשִׁיטָה,hebrew
paxun,training,o,peixun,培训,chinese
payim,menace,o,le'ay(e)m,לְאַייֵּם,hebrew
payon,hostile,o,la'ay(o)n,לַעֲיוֹן,hebrew
paz,pause,a,,,english
pazin,heed,o,leha'az(i)n,לְהַאֲזִין,hebrew
pazkir,cite,a,le'azk(e)R,לְאַזְכֵּר,hebrew
ped,spread,a,,,
pedir,herd,m,'edér,עֵדֶר,hebrew
pehod,fan (person),o,le'ehod,לֶאֱהוֹד,hebrew
pek,expect,a,,,english
pelek,wonder,o,pele,פֶּלֶא,hebrew
penos,rape,o,le'en(o)s,לֶאֱנוֹס,hebrew
permit,permit,a,,,english
pes,despite,m,,,
pet,they (communicating-agent-external-reference-focus),a,hem,הֵם,hebrew
petat,appetite,a,,,english
pidjon,pigeon,o,,,english
pidjuk,beer,o,pí jiǔ,啤酒,chinese
piful,leather,o,pífū,皮肤,chinese
pigment,pigment,o,,,english
pigul,disgusting,a,pigul,פִּיגּוּל,hebrew
pigum,scaffolding,o,pigum,פִּיגּוּם,hebrew
pigur,lag,o,pigur,פִּיגּוּר,hebrew
pikxar,picture,a,,,english
pilad,steel,a,peladah,פְּלָדָה,hebrew
pilan,pion,m,pion,,english
pilpal,pepper,a,pilpel,פִּילְפֵּל,hebrew
piluk,disclose,o,pilu,披露,chinese
pilum,consort,o,peiou,配偶,chinese
pin,spin,a,,,english
pinast,grind,a,pinaṣṭi,पिनष्टि,sanskrit
pinkas,registry,o,pinkas,פִּנְקָס,hebrew
pinus,pine (tree),o,,,latin
pinzon,variety,a,pinzhong,品种,chinese
pinzoq,breed,o,pinzhong,品种,chinese
pip,experience,o,,,
pipal,pleasure,o,pippala,पिप्पल,sanskrit
pipiq,criticize,a,pīpíng,批评,chinese
piq,request,a,,,
piqban,flat,m,pingban,平板,chinese
piqdaq,equal,m,pingdeng,平等,chinese
